iter	Accuracy	MultiClass
0	0.5054066761	1.082536404
1	0.5044663846	1.06904554
2	0.5105782793	1.057669413
3	0.5082275505	1.049381832
4	0.5086976963	1.042415732
5	0.5082275505	1.034958366
6	0.511048425	1.028889515
7	0.5176304654	1.023026582
8	0.514809591	1.018172809
9	0.5242125059	1.013094408
10	0.5251527974	1.009170597
11	0.5228020686	1.004961897
12	0.5228020686	1.000866487
13	0.5279736718	0.9978680451
14	0.5265632346	0.9947174029
15	0.5279736718	0.9919860582
16	0.5275035261	0.9894288372
17	0.5312646921	0.9868471677
18	0.5336154208	0.984331383
19	0.5354960038	0.9813848226
20	0.5336154208	0.978515625
21	0.533145275	0.9760653806
22	0.5364362953	0.973975321
23	0.5416078984	0.9719529827
24	0.5411377527	0.969518119
25	0.5430183357	0.9674876311
26	0.5420780442	0.9653429355
27	0.5448989187	0.96329282
28	0.5444287729	0.9612969388
29	0.5463093559	0.9592195627
30	0.5477197931	0.9577655658
31	0.5477197931	0.9559498344
32	0.5486600846	0.9537554384
33	0.5496003761	0.9518857022
34	0.5528913963	0.9502925326
35	0.5547719793	0.948547392
36	0.5594734368	0.9466326614
37	0.5599435825	0.9466234789
38	0.5599435825	0.9452793281
39	0.5622943112	0.9433498481
40	0.5655853315	0.9419663272
41	0.5665256229	0.9402491933
42	0.5660554772	0.9386401838
43	0.5669957687	0.9374748628
44	0.5698166432	0.9361001227
45	0.5707569346	0.9338378906
46	0.5768688293	0.9319065168
47	0.5787494123	0.9297406439
48	0.5792195581	0.9287239652
49	0.5801598496	0.9271266634
50	0.5834508698	0.9259654172
51	0.5820404325	0.9238926323
52	0.5843911613	0.9223810724
53	0.5872120357	0.9209801047
54	0.5872120357	0.9197119967
55	0.5876821815	0.9182483008
56	0.588622473	0.9168601886
57	0.5919134932	0.9151969447
58	0.5928537847	0.9136236897
59	0.5919134932	0.9116747542
60	0.5942642219	0.9104797622
61	0.5937940762	0.9095147352
62	0.5928537847	0.9079444071
63	0.5966149506	0.9063601904
64	0.5961448049	0.9049164091
65	0.5980253879	0.9035652566
66	0.5975552421	0.9022250657
67	0.5970850964	0.9007809975
68	0.5999059709	0.8989856973
69	0.6036671368	0.8974227726
70	0.6064880113	0.8953783962
71	0.6102491772	0.8939971709
72	0.6097790315	0.8925753128
73	0.610719323	0.891616025
74	0.6121297602	0.8905364459
75	0.6135401975	0.8889130887
76	0.614480489	0.8877877691
77	0.6154207804	0.8868932181
78	0.6168312177	0.8854711306
79	0.6187118007	0.8838810026
80	0.6177715092	0.8830368408
81	0.6201222379	0.8817158185
82	0.6201222379	0.8808437647
83	0.6210625294	0.8796899793
84	0.6229431124	0.8786099411
85	0.6205923836	0.8772337088
86	0.6220028209	0.8758103012
87	0.6248236953	0.8748352883
88	0.6267042783	0.8733861696
89	0.6243535496	0.8717584507
90	0.6257639868	0.8708480598
91	0.6262341326	0.8699441541
92	0.6262341326	0.8686860896
93	0.6271744241	0.8672508595
94	0.6304654443	0.865605005
95	0.6337564645	0.8636887823
96	0.6323460273	0.8626522464
97	0.6318758815	0.8616612214
98	0.6332863188	0.8607247751
99	0.632816173	0.8596805488
100	0.6304654443	0.8585952881
101	0.634696756	0.8572525146
102	0.6375176305	0.8559345914
103	0.638457922	0.8544724451
104	0.6393982134	0.8534478464
105	0.6426892337	0.8520169207
106	0.6431593794	0.8507666612
107	0.6450399624	0.8495989299
108	0.6440996709	0.8488135936
109	0.6469205454	0.8473138563
110	0.6483309826	0.8463560032
111	0.6506817113	0.8452353897
112	0.6488011283	0.8440589923
113	0.6511518571	0.8432214878
114	0.6516220028	0.842311556
115	0.6520921486	0.8409973058
116	0.654913023	0.8398199328
117	0.6539727315	0.8384715351
118	0.654913023	0.8373691145
119	0.6582040433	0.8362424175
120	0.6572637518	0.8350890339
121	0.6582040433	0.8340991567
122	0.6591443347	0.8330929231
123	0.6591443347	0.8318990215
124	0.6614950635	0.8305719158
125	0.6638457922	0.8296844812
126	0.6638457922	0.8283665006
127	0.6657263752	0.8267465869
128	0.6652562294	0.8258742461
129	0.6666666667	0.8249054888
130	0.6652562294	0.8236805387
131	0.6657263752	0.8227203326
132	0.6661965209	0.8215784271
133	0.6694875411	0.8208328053
134	0.6704278326	0.820168736
135	0.6718382699	0.8187466484
136	0.6737188528	0.8176728658
137	0.6746591443	0.8170066729
138	0.6732487071	0.8158554127
139	0.6755994358	0.8149850807
140	0.6770098731	0.8136331247
141	0.6803008933	0.8124632699
142	0.6798307475	0.8113490841
143	0.6812411848	0.8106791609
144	0.6793606018	0.8097784117
145	0.6798307475	0.8089130726
146	0.6831217677	0.8079202111
147	0.6812411848	0.8067513319
148	0.6812411848	0.8056258402
149	0.684532205	0.8047592385
150	0.6850023507	0.8034822924
151	0.6840620592	0.8026154612
152	0.6854724965	0.801784614
153	0.6878232252	0.8007309756
154	0.6887635167	0.7997386306
155	0.6892336624	0.7991616806
156	0.6897038082	0.7981474123
157	0.6925246827	0.7969928234
158	0.6915843912	0.7961499242
159	0.6925246827	0.7945185896
160	0.6944052656	0.7932047985
161	0.6929948284	0.7920317872
162	0.6934649741	0.7913197964
163	0.6939351199	0.7906791425
164	0.6958157029	0.7901128671
165	0.6953455571	0.789028869
166	0.6972261401	0.7883505667
167	0.6958157029	0.7870456712
168	0.6972261401	0.7862570637
169	0.6986365773	0.7853948811
170	0.7005171603	0.7843253454
171	0.6991067231	0.7836027374
172	0.6995768688	0.7825847961
173	0.7000470146	0.7817165875
174	0.6991067231	0.7811403835
175	0.7005171603	0.7798655034
176	0.7038081805	0.7791031235
177	0.7014574518	0.7782424331
178	0.7042783263	0.7767925684
179	0.7033380348	0.7759936879
180	0.7038081805	0.7752297011
181	0.7061589093	0.7740737922
182	0.704748472	0.7730761099
183	0.7070992008	0.7718450764
184	0.704748472	0.7711838192
185	0.7080394922	0.7705257184
186	0.7099200752	0.7696995773
187	0.7089797837	0.768804682
188	0.7094499295	0.7679395725
189	0.7070992008	0.7666734158
190	0.7094499295	0.7655217539
191	0.7099200752	0.7645617199
192	0.7113305125	0.7634959147
193	0.7132110954	0.7624393494
194	0.7136812412	0.7617561688
195	0.7127409497	0.7610818265
196	0.7150916784	0.7602870782
197	0.7146215327	0.7594103757
198	0.7150916784	0.7583636816
199	0.7169722614	0.7571828077
200	0.7197931359	0.7560695402
201	0.7212035731	0.754913574
202	0.7202632816	0.7541723139
203	0.7226140103	0.7535451468
204	0.7221438646	0.7526030188
205	0.7230841561	0.7512958851
206	0.7230841561	0.7503590945
207	0.7235543018	0.7493195168
208	0.7249647391	0.7485038209
209	0.7235543018	0.7476657424
210	0.7240244476	0.7466942877
211	0.7254348848	0.7458410581
212	0.7263751763	0.745109038
213	0.7259050306	0.7444712536
214	0.7259050306	0.7435135727
215	0.728725905	0.7427596867
216	0.728725905	0.7419183944
217	0.7310766338	0.7411836195
218	0.7329572167	0.740655222
219	0.7320169252	0.7395319111
220	0.730606488	0.7387354985
221	0.7329572167	0.738052031
222	0.734367654	0.7374595854
223	0.7338975082	0.7365287634
224	0.736248237	0.7352284592
225	0.7367183827	0.7344482307
226	0.736248237	0.7334599605
227	0.7367183827	0.7328978172
228	0.7385989657	0.7315652594
229	0.7376586742	0.7307713719
230	0.7390691114	0.7295480862
231	0.7395392572	0.7287387606
232	0.7404795487	0.7280764703
233	0.7395392572	0.7272008009
234	0.7409496944	0.7264102995
235	0.7423601316	0.7255879462
236	0.7433004231	0.7249153829
237	0.7409496944	0.7238257605
238	0.7442407146	0.7231340861
239	0.7447108604	0.7221421429
240	0.7456511519	0.7212187243
241	0.7451810061	0.7204967475
242	0.7456511519	0.7194345579
243	0.7475317348	0.7186923222
244	0.7480018806	0.717767641
245	0.7498824636	0.7167384511
246	0.7489421721	0.7160619853
247	0.7494123178	0.7153560206
248	0.7503526093	0.7145271821
249	0.7498824636	0.7140884866
250	0.752703338	0.713095912
251	0.7531734838	0.7124077959
252	0.7536436295	0.7117870566
253	0.7536436295	0.7107980977
254	0.7550540668	0.7099294873
255	0.7555242125	0.7090526701
256	0.7555242125	0.7083220847
257	0.756464504	0.7075464476
258	0.7588152327	0.7068204535
259	0.7606958157	0.7061479476
260	0.76022567	0.7053703591
261	0.7592853785	0.7046407494
262	0.7621062529	0.7037911928
263	0.7635166902	0.703192836
264	0.7625763987	0.7024788366
265	0.7630465444	0.7017570894
266	0.7625763987	0.7011185015
267	0.7625763987	0.7003397078
268	0.7639868359	0.6994593898
269	0.7649271274	0.6988844484
270	0.7649271274	0.6982085565
271	0.7635166902	0.6972103576
272	0.7649271274	0.6964034998
273	0.7644569817	0.6958021586
274	0.7663375646	0.6951600125
275	0.7677480019	0.6944164568
276	0.7677480019	0.6934085016
277	0.7696285849	0.6926549599
278	0.7705688764	0.6921247259
279	0.7705688764	0.6914226638
280	0.7705688764	0.6908043349
281	0.7719793136	0.6901408968
282	0.7724494593	0.6894358504
283	0.7710390221	0.6887686819
284	0.7715091678	0.6879292835
285	0.7705688764	0.6872636645
286	0.7715091678	0.6866001117
287	0.7715091678	0.6859660003
288	0.7715091678	0.6854562549
289	0.7715091678	0.6846934732
290	0.7715091678	0.683835595
291	0.7733897508	0.683262777
292	0.7738598966	0.6823922154
293	0.7733897508	0.6817555215
294	0.7752703338	0.6811164745
295	0.7757404795	0.6806312923
296	0.7748001881	0.6798499161
297	0.7757404795	0.6792887485
298	0.7757404795	0.6786037314
299	0.7762106253	0.6778010632
300	0.7752703338	0.6769490388
301	0.7752703338	0.6763236508
302	0.7757404795	0.6757610484
303	0.7757404795	0.6750579533
304	0.7762106253	0.6742994186
305	0.776680771	0.6736412604
306	0.7771509168	0.6731239968
307	0.7771509168	0.6724683639
308	0.7799717913	0.6714986883
309	0.7799717913	0.6707467535
310	0.7790314998	0.6700887676
311	0.7776210625	0.6694156878
312	0.7790314998	0.668582832
313	0.778561354	0.6678421458
314	0.7780912083	0.6672417803
315	0.7790314998	0.6662919619
316	0.7795016455	0.6656431011
317	0.7790314998	0.665009334
318	0.7795016455	0.6644479369
319	0.7809120827	0.6637449565
320	0.7809120827	0.6630648177
