iter	Passed	Remaining
0	127	126940
1	133	66701
2	140	46658
3	148	36985
4	159	31807
5	167	27781
6	174	24811
7	181	22476
8	189	20817
9	195	19307
10	200	18052
11	208	17164
12	214	16280
13	221	15569
14	228	14984
15	235	14458
16	244	14115
17	250	13690
18	258	13344
19	265	13021
20	273	12758
21	281	12531
22	290	12329
23	297	12092
24	308	12035
25	315	11836
26	325	11732
27	331	11521
28	339	11372
29	345	11175
30	354	11089
31	362	10974
32	372	10911
33	378	10747
34	386	10651
35	392	10519
36	402	10473
37	404	10248
38	412	10160
39	422	10128
40	432	10109
41	440	10048
42	450	10029
43	458	9964
44	471	9996
45	478	9916
46	488	9911
47	498	9888
48	508	9859
49	522	9922
50	532	9904
51	539	9840
52	551	9849
53	560	9815
54	567	9756
55	574	9686
56	583	9657
57	592	9628
58	600	9582
59	611	9582
60	618	9521
61	628	9505
62	635	9450
63	643	9410
64	650	9352
65	657	9309
66	665	9267
67	678	9296
68	685	9244
69	692	9198
70	700	9164
71	708	9132
72	716	9096
73	724	9061
74	732	9034
75	739	8991
76	749	8981
77	757	8951
78	765	8919
79	772	8886
80	780	8854
81	790	8845
82	798	8816
83	807	8808
84	814	8770
85	823	8749
86	830	8712
87	838	8694
88	845	8650
89	852	8620
90	859	8585
91	868	8567
92	874	8533
93	881	8497
94	889	8478
95	897	8449
96	905	8432
97	913	8411
98	922	8398
99	931	8384
100	944	8409
101	957	8432
102	967	8425
103	975	8408
104	989	8433
105	996	8408
106	1007	8404
107	1019	8421
108	1028	8403
109	1036	8384
110	1044	8368
111	1054	8359
112	1063	8349
113	1073	8346
114	1083	8334
115	1091	8316
116	1104	8335
117	1116	8342
118	1124	8324
119	1135	8324
120	1153	8376
121	1166	8392
122	1174	8376
123	1185	8377
124	1195	8367
125	1203	8345
126	1211	8329
127	1221	8319
128	1235	8340
129	1249	8360
130	1261	8368
131	1268	8341
132	1276	8318
133	1292	8353
134	1306	8373
135	1321	8393
136	1335	8412
137	1348	8424
138	1356	8404
139	1366	8394
140	1376	8384
141	1383	8361
142	1395	8361
143	1402	8336
144	1423	8391
145	1433	8384
146	1445	8388
147	1455	8378
148	1464	8362
149	1474	8354
150	1484	8349
151	1495	8342
152	1504	8326
153	1512	8310
154	1523	8304
155	1535	8306
156	1544	8295
157	1557	8298
158	1566	8285
159	1577	8284
160	1590	8287
161	1598	8271
162	1609	8266
163	1616	8242
164	1626	8228
165	1637	8224
166	1645	8207
167	1655	8197
