iter	Accuracy	MultiClass
0	0.6544428773	1.045771145
1	0.656793606	1.002380457
2	0.656793606	0.9673750303
3	0.662435355	0.9386634271
4	0.6629055007	0.9142956216
5	0.6661965209	0.8932903453
6	0.6680771039	0.8751248825
7	0.6657263752	0.8577779278
8	0.6690173954	0.8442658289
9	0.6704278326	0.8323732994
10	0.6718382699	0.8202605039
11	0.6704278326	0.8094747568
12	0.6704278326	0.7997745573
13	0.6723084156	0.7915950429
14	0.6751292901	0.7843198359
15	0.680771039	0.7765302923
16	0.6831217677	0.7702672301
17	0.6812411848	0.7640462354
18	0.6835919135	0.7581096698
19	0.682651622	0.752613464
20	0.6878232252	0.7466871713
21	0.6901739539	0.7414228245
22	0.6901739539	0.7365302555
23	0.6892336624	0.732625842
24	0.6887635167	0.7283914886
25	0.6934649741	0.7235031666
26	0.6972261401	0.7197880281
27	0.6986365773	0.7166184469
28	0.7005171603	0.7128875259
29	0.7009873061	0.7092716161
30	0.7019275976	0.7054524854
31	0.7009873061	0.7021222099
32	0.7042783263	0.6989401749
33	0.7061589093	0.6955502702
34	0.7070992008	0.6927830562
35	0.7099200752	0.690047235
36	0.7113305125	0.6873188745
37	0.710390221	0.6847638344
38	0.7118006582	0.6825458507
39	0.7108603667	0.6801102983
40	0.7155618242	0.6773304009
41	0.7169722614	0.6752411448
42	0.7174424071	0.6728002551
43	0.7183826986	0.6699176281
44	0.7188528444	0.6673610958
45	0.7235543018	0.6630049016
46	0.7244945933	0.6610362237
47	0.7244945933	0.6588137635
48	0.7244945933	0.6566976485
49	0.7254348848	0.6543350973
50	0.7273154678	0.6520785469
51	0.726845322	0.6497071575
52	0.7263751763	0.6475796791
53	0.7273154678	0.6446645689
54	0.7291960508	0.643104399
55	0.730606488	0.6408402156
56	0.7320169252	0.6382863234
57	0.732487071	0.6363723963
58	0.734367654	0.6338904721
59	0.7338975082	0.6312285703
60	0.7381288199	0.6289871711
61	0.7376586742	0.6270605033
62	0.7404795487	0.6245563688
63	0.7423601316	0.6228685043
64	0.7442407146	0.6208575293
65	0.7447108604	0.6189248354
66	0.7494123178	0.6157980104
67	0.7480018806	0.6141415387
68	0.7494123178	0.6123829112
69	0.7503526093	0.6107658096
70	0.7517630465	0.6083381771
71	0.7541137753	0.6059523252
72	0.7550540668	0.6034070415
73	0.756464504	0.6018577185
74	0.7578749412	0.5999317393
75	0.7569346497	0.597755077
76	0.758345087	0.5954400454
77	0.7616361072	0.594254982
78	0.7616361072	0.5922549687
79	0.7649271274	0.5893028414
80	0.7658674189	0.5865064728
81	0.7668077104	0.583959123
82	0.7686882934	0.5821913704
83	0.7696285849	0.5806561081
84	0.7729196051	0.5788072049
85	0.7729196051	0.5771432149
86	0.7733897508	0.5758765991
87	0.7776210625	0.5738528834
88	0.7795016455	0.5723821284
89	0.780441937	0.5707454565
90	0.7818523742	0.5690123106
91	0.7827926657	0.5666465454
92	0.7837329572	0.565362942
93	0.7865538317	0.5636038554
94	0.7860836859	0.5622063885
95	0.7870239774	0.5598257017
96	0.7874941232	0.5584366713
97	0.7879642689	0.5570314566
98	0.7889045604	0.5549336493
99	0.7898448519	0.5536275486
100	0.7907851434	0.5519892124
101	0.7950164551	0.5487489256
102	0.7950164551	0.5472937809
103	0.7954866008	0.5459259277
104	0.7978373296	0.5446468581
105	0.7992477668	0.5426576343
106	0.8020686413	0.5405966719
107	0.802538787	0.5389807181
108	0.802538787	0.5368176574
109	0.80441937	0.535162276
110	0.8053596615	0.5336729838
111	0.8058298072	0.5320942192
112	0.8053596615	0.5306182417
113	0.8095909732	0.5287600411
114	0.8110014104	0.5277577675
115	0.8110014104	0.5267868293
116	0.8128819934	0.524972418
117	0.8142924307	0.5235737458
118	0.8161730136	0.5220552417
119	0.8180535966	0.5198158512
120	0.8189938881	0.5185091766
