iter	Passed	Remaining
0	8	8365
1	14	7436
2	21	6984
3	27	6922
4	34	6926
5	45	7496
6	51	7279
7	59	7343
8	66	7280
9	73	7274
10	79	7181
11	87	7191
12	95	7221
13	103	7305
14	110	7272
15	117	7256
16	124	7217
17	130	7114
18	137	7122
19	145	7110
20	152	7128
21	159	7087
22	166	7086
23	174	7077
24	183	7151
25	197	7407
26	206	7451
27	213	7404
28	220	7391
29	229	7436
30	238	7450
31	246	7450
32	254	7454
33	261	7423
34	270	7455
35	278	7469
36	288	7516
37	302	7667
38	309	7625
39	316	7585
40	323	7575
41	331	7562
42	339	7560
43	348	7561
44	354	7520
45	361	7490
46	369	7484
47	376	7461
48	384	7457
49	391	7441
50	399	7440
51	407	7432
52	415	7421
53	422	7408
54	430	7402
55	438	7390
56	446	7389
57	454	7373
58	462	7369
59	468	7334
60	474	7299
61	481	7289
62	487	7254
63	494	7227
64	500	7194
65	506	7162
66	514	7166
67	520	7134
68	527	7122
69	534	7106
70	542	7099
71	549	7080
72	556	7066
73	562	7035
74	567	7001
75	574	6990
76	582	6978
77	587	6947
78	594	6929
79	600	6901
80	607	6891
81	614	6883
82	624	6901
83	630	6875
84	636	6847
85	642	6829
86	648	6801
87	654	6787
88	662	6777
89	668	6761
90	675	6751
91	681	6729
92	689	6729
93	701	6758
94	712	6788
95	718	6768
96	724	6747
97	731	6730
98	738	6720
99	745	6706
100	751	6690
101	758	6678
102	764	6654
103	770	6642
104	776	6617
105	784	6615
106	792	6612
107	797	6588
108	804	6573
109	810	6560
110	817	6550
111	824	6539
112	831	6526
113	838	6516
114	846	6513
115	859	6547
116	866	6541
117	872	6523
118	878	6504
119	887	6507
120	894	6499
121	901	6486
122	907	6467
123	914	6461
124	921	6450
125	929	6447
126	941	6471
127	950	6478
128	960	6487
129	968	6484
130	977	6486
131	985	6483
132	993	6476
133	1001	6472
134	1007	6456
135	1014	6444
136	1020	6429
137	1026	6412
138	1034	6407
139	1040	6394
140	1048	6390
141	1055	6378
142	1062	6369
143	1069	6354
144	1076	6348
145	1083	6336
146	1090	6326
147	1098	6322
148	1104	6309
149	1112	6305
150	1119	6294
151	1127	6292
152	1138	6303
153	1145	6293
154	1152	6284
155	1161	6282
156	1166	6265
157	1174	6258
158	1181	6249
159	1190	6252
160	1199	6248
161	1206	6238
162	1212	6228
163	1219	6218
164	1227	6214
165	1235	6204
166	1241	6192
167	1247	6177
168	1254	6170
169	1262	6162
170	1268	6150
171	1275	6142
172	1282	6131
173	1289	6122
174	1296	6111
175	1302	6098
176	1309	6089
177	1315	6074
178	1321	6061
179	1329	6056
180	1336	6048
181	1344	6040
182	1350	6027
183	1358	6023
184	1365	6016
185	1374	6016
186	1381	6005
187	1389	6001
188	1396	5992
189	1406	5994
190	1412	5984
191	1422	5985
192	1430	5982
193	1438	5976
194	1445	5966
195	1452	5959
196	1460	5954
197	1468	5946
198	1475	5938
199	1483	5935
200	1492	5934
201	1499	5922
202	1505	5912
203	1512	5899
204	1519	5893
205	1525	5881
206	1535	5881
207	1542	5871
208	1548	5860
209	1554	5848
210	1561	5839
211	1569	5834
212	1575	5821
213	1583	5817
214	1590	5806
215	1598	5800
216	1606	5796
217	1614	5790
218	1620	5780
219	1627	5769
220	1636	5767
221	1644	5764
222	1653	5759
223	1662	5759
224	1670	5752
225	1677	5746
226	1687	5744
227	1695	5740
228	1705	5743
229	1716	5745
230	1723	5737
231	1734	5741
232	1743	5738
233	1750	5731
234	1758	5726
235	1768	5724
236	1775	5716
237	1782	5708
238	1791	5702
239	1798	5695
240	1806	5688
241	1815	5685
242	1825	5687
243	1833	5680
244	1841	5675
245	1848	5665
246	1856	5661
247	1868	5665
248	1876	5660
249	1885	5655
250	1893	5649
251	1900	5640
252	1910	5639
253	1918	5633
254	1927	5632
255	1935	5624
256	1943	5620
257	1953	5617
258	1961	5610
259	1967	5600
260	1979	5605
261	1991	5609
262	1998	5600
263	2006	5592
264	2013	5585
265	2021	5578
266	2027	5567
267	2034	5557
268	2046	5562
269	2056	5560
270	2062	5548
271	2070	5542
272	2079	5537
273	2087	5531
274	2093	5519
275	2099	5507
276	2107	5500
277	2114	5490
278	2122	5485
279	2130	5477
280	2138	5471
281	2145	5463
282	2154	5459
283	2162	5452
284	2171	5446
285	2178	5439
286	2186	5433
287	2193	5423
288	2202	5417
289	2209	5410
290	2219	5407
291	2227	5400
292	2236	5396
293	2242	5384
294	2249	5376
295	2257	5369
296	2266	5364
297	2272	5354
298	2278	5342
299	2285	5333
300	2291	5322
301	2301	5319
302	2309	5311
303	2317	5305
304	2324	5296
305	2334	5294
306	2340	5282
307	2348	5276
308	2356	5269
309	2365	5265
310	2371	5254
311	2380	5250
312	2388	5242
313	2397	5237
314	2405	5230
315	2415	5228
316	2422	5219
317	2429	5210
318	2435	5200
319	2443	5193
320	2451	5185
321	2461	5182
322	2467	5171
323	2475	5163
324	2482	5155
325	2489	5146
326	2498	5141
327	2506	5135
328	2517	5134
329	2530	5137
330	2538	5129
331	2548	5127
332	2555	5118
333	2566	5117
334	2575	5113
335	2586	5110
336	2596	5108
337	2604	5101
338	2614	5097
339	2627	5100
340	2635	5092
341	2642	5083
342	2648	5072
343	2656	5065
344	2664	5058
345	2673	5054
346	2681	5045
347	2688	5037
348	2695	5028
349	2702	5018
350	2712	5014
351	2719	5006
352	2728	5001
353	2736	4993
354	2743	4984
355	2752	4978
356	2760	4972
357	2766	4961
358	2774	4953
359	2781	4944
360	2789	4937
361	2796	4928
362	2805	4922
363	2812	4914
364	2823	4911
365	2830	4903
366	2840	4899
367	2848	4891
368	2859	4889
369	2866	4881
370	2873	4872
371	2879	4861
372	2889	4857
373	2897	4849
374	2905	4842
375	2913	4834
376	2921	4827
377	2930	4822
378	2938	4814
379	2946	4807
380	2954	4800
381	2961	4791
382	2969	4783
383	2976	4775
384	2985	4769
385	2993	4761
386	3001	4754
387	3014	4754
388	3021	4745
389	3028	4736
